Artist,Album,Case Quality,Vinyl Quality
38 Special,Tour De Force,average,
38 Special ,Special Forces,good,
Billy Joel,The Stranger,average,
Billy Squier,Emotions in Motion,good,
Bob Seger & the Silver Bullet Band,Night Moves,average,
Bronski Beat,The Age of Consent,average,good
Bryan Adams ,Into the Fire,good,
Bryan Ferry * Roxy Music,Street Life 20 Great Hits,good,good
Chicago,The Chicago Transit Authority,poor,good
Dan Folgerberg,Greatest Hits,average,
Def Leppard,Pyromania,average,
Eagles,Eagles Greatest Hits Vol. 2,good,
Eagles,Greatest Hits 1971-1975,excellent,
Eagles,Greatest Hits 1971-1975,average,
Eddie Money,Life For The Taking,average,
Electric Light Orchestra,Out of the Blue,average,average
Electric Light Orchestra,A New World Record,average,good
Electric Light Orchestra,Face the Music,good,good
Electric Light Orchestra ,Discovery,good,
Falco,Falco 3,excellent,
Footloose,Soundtrack,good,
Foreigner,Double Vision,good,
Foreigner,Double Vision (dark cover),good,
Foreigner,Double Vision (light cover),good,
Foreigner,Head Games,good,
Genesis,Abacab,good,average (1 skip)
Heart,Heart,good,
Heart,Dreamboat Annie,average,
Huey Lewis and The News,Sports,good,
Jefferson Starship ,Freedom at Point Zero,good,
Jethro Tull,Aqualung,average,
Journey,Journey,poor,
Journey,Captured,average,
Journey,Escape,good,
Kansas,Two for the Show,average,
Kansas,Point of Know Return,average,
Kansas ,Leftoverture,good,
Kix,Kix,good,
Led Zeppelin ,Led Zeppelin IV,good,
Led Zeppelin ,led Zeppelin IV,average,
Loverboy,Loverboy,average,excellent
Loverboy,Lovin' Every Minute of it,good,
Loverboy,Get Lucky ,average,
Men At Work,Business as Usual,good,
Neil Diamond,12 Greatest Hits Vol. II,average,
Night Ranger,Seven Wishes,average,
Nu Shooz,Poolside,good,
Ozzy Osbourne,Diary of a Madman,average,
Ozzy Osbourne,Blizzard of Ozz,average,
Pat Benatar,Tropico,good,
REO Speedwagon,High Infidelity,average,
REO Speedwagon,Good Trouble,average,
REO Speedwagon,A Decade Of Rock and Roll 70-80,average,
Rod Stewart,Every Picture Tells a Story,good,
Rush,Moving Pictures,poor,good
Rush,Permanent Waves,good,good
Sade,Diamond Life,average,
Scorpions,Blackout,good,
Scorpions,Love at First Sting,good,
Stray Cats,Built for Speed,good,
Styx,Pieces of Eight,good ,
Supertramp,Paris,good,
Survivor,Vital Signs,average,
The Cars,Panorama,good,
The Cars,The Cars,good,
The Cars ,Shake it Up,average,
The Fixx,Walkabout,average,
The Motels,All Four One,average,
The Police,Ghost In The Machine,good,
The Steve Miller Band,Greatest Hits 1974-78,average,
Van Halen,Van Halen,average,
Van Halen,Van Halen II,good,
Van Halen,Women and Children First,average,
Van Halen ,Van Halen II,average,
Whitesnake,1987 Serpens Albus,excellent,excellent
